STATE,2000 INCOME,1990 INCOME
Alabama,52737,44436
Alaska,78675,74764
Arizona,59226,55598
Arkansas,44211,43350
California,69696,63333
Colorado,71816,58469
Connecticut,74693,73949
Delaware,74980,58604
District of Columbia,61368,52113
Florida,57846,50768
Georgia,62379,52434
Hawaii,76738,74046
Idaho,55993,48142
Illinois,68577,61910
Indiana,60837,51230
Iowa,61025,51915
Kansas,61126,56916
Kentucky,53989,47143
Louisiana,45731,42625
Maine,55479,52250
Maryland,81188,73925
Massachusetts,69603,68959
Michigan,67755,56954
Minnesota,80765,59861
Mississippi,51062,38388
Missouri,67137,51998
Montana,48796,44470
Nebraska,62155,52284
Nevada,68121,60923
New Hampshire,75815,77631
New Jersey,75039,73691
New Mexico,52244,47636
New York,60657,60101
North Carolina,57044,50090
North Dakota,53588,48064
Ohio,63959,57099
Oklahoma,48283,46390
Oregon,63270,55706
Pennsylvania,62789,55181
Rhode Island,62820,60818
South Carolina,55932,54668
South Dakota,54301,46746
Tennessee,50760,42981
Texas,57478,53703
Utah,70789,57344
Vermont,58945,59163
Virginia,70213,66726
Washington,63308,61092
West Virginia,43785,42115
Wisconsin,67124,58427
Wyoming,58997,56047